#Gene_1	Gene_2	weight
16-5-5	cdc42	0.82
16-5-5	rhoj	0.82
16-5-5	rhoq	0.82
<delta>fas/apo-1/cd95	bid	1.00
<delta>fas/apo-1/cd95	casp10	1.00
<delta>fas/apo-1/cd95	daxx	1.00
<delta>fas/apo-1/cd95	dkfzp686n0154	1.00
<delta>fas/apo-1/cd95	fadd	1.00
<delta>fas/apo-1/cd95	faslg	1.00
<delta>fas/apo-1/cd95	hspb1	1.00
<delta>fas/apo-1/cd95	map2k3	1.00
<delta>fas/apo-1/cd95	map2k4	1.00
<delta>fas/apo-1/cd95	map3k5	1.00
<delta>fas/apo-1/cd95	mapk8	1.00
<delta>fas/apo-1/cd95	ptpn11	1.00
a1cf	apobec1	1.00
a1cf	ep300	1.00
a2m	actb	0.59
a2m	ambp	0.59
a2m	apoa1	1.00
a2m	app	0.59
a2m	bmp1	1.00
a2m	cdc42	1.00
a2m	f2	1.00
a2m	fbln2	0.89
a2m	hspa5	0.59
a2m	klk3	0.96
a2m	klkb1	1.00
a2m	mmp1	1.00
a2m	mmp13	1.00
a2m	mmp3	1.00
a2m	nfkb1	1.00
a2m	ngf	0.59
a2m	nos3	0.59
a2m	plg	1.00
a2m	proc	1.00
a2m	pros1	1.00
a2m	rac1	1.00
a2m	rac2	1.00
a2m	rac3	1.00
a2m	rela	1.00
a2m	rhoa	1.00
a2m	rhob	1.00
a2m	rhobtb1	1.00
a2m	rhobtb2	1.00
a2m	rhoc	1.00
a2m	rhod	1.00
a2m	rhof	1.00
a2m	rhog	1.00
a2m	rhoh	1.00
a2m	rhoj	1.00
a2m	rhoq	1.00
a2m	rhot1	1.00
a2m	rhot2	1.00
a2m	rhou	1.00
a2m	rhov	1.00
a2m	serping1	0.94
a2m	stat1	1.00
a2m	stat3	1.00
a2m	tyro3	0.59
a4gnt	muc1	1.00
a4gnt	muc12	1.00
a4gnt	muc13	1.00
a4gnt	muc15	1.00
a4gnt	muc16	1.00
a4gnt	muc17	1.00
a4gnt	muc19	1.00
a4gnt	muc2	1.00
a4gnt	muc20	1.00
a4gnt	muc21	1.00
a4gnt	muc3a	1.00
a4gnt	muc3b	1.00
a4gnt	muc4	1.00
a4gnt	muc5ac	1.00
a4gnt	muc5b	1.00
a4gnt	muc6	1.00
a4gnt	muc7	1.00
a4gnt	mucl1	1.00
aaas	ago2	1.00
aaas	alyref	1.00
aaas	aurkb	1.00
aaas	banf1	1.00
aaas	birc5	1.00
aaas	c11orf73	1.00
aaas	ccnb1	1.00
aaas	ccnb2	1.00
aaas	cdc40	1.00
aaas	cdca8	1.00
aaas	cdk1	1.00
aaas	cpsf1	1.00
aaas	cpsf2	1.00
aaas	cpsf3	1.00
aaas	ddx20	1.00
aaas	dhx38	1.00
aaas	eif4e	1.00
aaas	fip1l1	1.00
aaas	gck	1.00
aaas	gckr	1.00
aaas	gemin2	1.00
aaas	gemin4	1.00
aaas	gemin5	1.00
aaas	gemin6	1.00
aaas	gemin7	1.00
aaas	hmga1	1.00
aaas	hnrnpc	1.00
aaas	hspa1a	1.00
aaas	incenp	1.00
aaas	ipo8	1.00
aaas	isg15	1.00
aaas	kpna1	1.00
aaas	kpna2	1.00
aaas	kpna3	1.00
aaas	kpna4	1.00
aaas	kpna5	1.00
aaas	kpna7	1.00
aaas	kpnb1	1.00
aaas	magoh	1.00
aaas	ncbp1	1.00
aaas	ncbp2	1.00
aaas	ndc1	1.00
aaas	nek6	1.00
aaas	nek9	1.00
aaas	npm1	1.00
aaas	nudc	0.59
aaas	nup107	1.00
aaas	nup133	1.00
aaas	nup153	1.00
aaas	nup155	1.00
aaas	nup160	1.00
aaas	nup188	1.00
aaas	nup205	1.00
aaas	nup210	1.00
aaas	nup214	1.00
aaas	nup35	1.00
aaas	nup37	1.00
aaas	nup43	1.00
aaas	nup50	1.00
aaas	nup54	1.00
aaas	nup62	1.00
aaas	nup85	1.00
aaas	nup88	1.00
aaas	nup93	1.00
aaas	nup98	1.00
aaas	nupl1	1.00
aaas	nupl2	1.00
aaas	nxf1	1.00
aaas	phax	1.00
aaas	pias3	1.00
aaas	pml	1.00
aaas	pom121	1.00
aaas	pom121c	1.00
aaas	psip1	1.00
aaas	rae1	1.00
aaas	ran	1.00
aaas	ranbp2	1.00
aaas	rangap1	1.00
aaas	rbm8a	1.00
aaas	rnps1	1.00
aaas	seh1l	1.00
aaas	slbp	1.00
aaas	smn1	1.00
aaas	snrpb	1.00
aaas	snrpd1	1.00
aaas	snrpd2	1.00
aaas	snrpd3	1.00
aaas	snrpe	1.00
aaas	snrpf	1.00
aaas	snrpg	1.00
aaas	snupn	1.00
aaas	sp100	1.00
aaas	srrm1	1.00
aaas	srsf1	1.00
aaas	srsf11	1.00
aaas	srsf2	1.00
aaas	srsf3	1.00
aaas	srsf4	1.00
aaas	srsf5	1.00
aaas	srsf6	1.00
aaas	srsf7	1.00
aaas	srsf9	1.00
aaas	sumo1	1.00
aaas	sumo2	1.00
aaas	sumo3	1.00
aaas	top2a	1.00
aaas	tpr	1.00
aaas	u2af1	1.00
aaas	u2af2	1.00
aaas	ube2i	1.00
aaas	upf3b	1.00
aaas	xpo1	1.00
aaas	xpot	1.00
aag1	casp10	1.00
aag1	casp2	1.00
